"Date","Tweet","ReplyTo","RT","Likes","RTs"
"2019-10-31 12:45Z","🎃🦇Caboclo D'Água é um ser mítico da cultura brasileira. Ele protege o Rio São Francisco e ataca todos que se atrevem a entrar em suas águas. (Imagem do filme o Monstro da Lagoa Negra, 1954) 🦇🎃 https://t.co/4ycqLdEneH ","",NA,18,2
"2019-10-30 12:52Z","Sexta-feira (1) o evento Seminários do Instituto Biomédico (SIB) vai apresentar a palestra Novas estratégias para o controle da obesidade: evidências de estudos experimentais. 🍎🥥🥦🌶️ https://t.co/tdEAJi6S9M Bora cuidar da saúde!!! 🏃🏽‍♂️🏃🏽‍♀️🚴🏽‍♀️🤸🏽‍♀️🏋🏽‍♀️⛹🏽‍♂️🏇🏽 https://t.co/mQ8hIxlT4Y ","",NA,4,0
"2019-10-30 12:37Z","🎵 Nesta quinta-feira (31),  a Série Villa-Lobos Aplaude apresenta o violonista Pedro Grammont, às 19h30, na Sala Villa-Lobos (Instituto Villa-Lobos/UNIRIO).

A entrada é franca. 

https://t.co/18nEsVSPh6 https://t.co/HywpMPRITF ","",NA,7,0
"2019-10-29 14:55Z","@jonny_souza07 Vem provar as delícias do RU 😂😉 ","@jonny_souza07",NA,1,0
"2019-10-29 14:30Z","@cxrxlf Postei. Mas bora nos alimentar de conhecimento também. hahahah 😘 ","@cxrxlf",NA,1,0
"2019-10-29 14:28Z","Vocês acharam que eu esqueci, né? 👉🧠👈(quase esqueci! hahaha). 😋🍴 Hoje tem carne assada, torta natureba e polenta. Amanhã, coxa/sobrecoxa. Quinta, quibe de forno ou tomate recheado com lentilha. Sexta, frango xadrez ou bolinho de aipim com espinafre. https://t.co/HZ1p0Xln1o https://t.co/0SIE1SrqGQ ","",NA,22,0
"2019-10-29 13:24Z","🎹 Hoje (29) às 19h30 na Sala Villa-Lobos tem mais Série UNIRIO Musical! 💙 Professores apresentam obras importantes do repertório para piano solo de Brahms: Intermezzos, Capriccios, a Rapsodia op. 79 n. 2 e a Ballade op. 118 n. 3.  🎵 Entrada Franca. https://t.co/PCBA1WlYWf ","",NA,8,0
"2019-10-29 13:11Z","Até sexta-feira (1) tá rolando na Biblioteca Central a exposição Sementes da Esperança: visões de sustentabilidade, passos rumo às mudanças. 🍀🌎 https://t.co/JJlJpyrsCX https://t.co/zYCzEUXE9N ","",NA,7,1
"2019-10-29 12:43Z","📚📖 🤓Aprenda a aprender, e nunca mais pare. Em um mundo em constante mudança, essa é uma habilidade que te levará mais longe. 🧠🛸 https://t.co/TW0JPrYkzg ","",NA,30,7
"2019-10-25 17:49Z","@gic_1616 Vem comigo! 😉 ","@gic_1616",NA,0,0
"2019-10-25 15:07Z","Hoje (25) às 18h o Fórum de Psicanálise e Cinema exibirá o filme A Garota no Trem, às 18h, no Auditório Vera Janacópulos.  https://t.co/2N17xVqRN8 ","",NA,5,1
"2019-10-25 14:59Z","@alexiapqsiim 💀 ","@alexiapqsiim",NA,0,0
"2019-10-25 14:40Z","@carlinhabguedes 💙🏆 ","@carlinhabguedes",NA,0,0
"2019-10-25 13:49Z","@ASolluny 🐻💙 ","@ASolluny",NA,0,0
"2019-10-25 13:40Z","Tá rolando até 11h palestra sobre Inovação e Tecnologia com Ester Lima e Rodrigo Coelho, gestores da B2W DIGITAL (Submarino, Shoptime e Americanas). É no auditório Tércio Pacitti. 👬👫👭👫👬👫👭👫👬👫👭👬👭 https://t.co/H2ycieLDoo ","",NA,5,0
"2019-10-25 13:33Z","Encerramento hoje (25) às 14h no Auditório Vera Janacópulos. 👫👭👬👭👫👭👬👭👫 https://t.co/U7wmX0YFKd ","",NA,3,1
"2019-10-25 13:26Z","Joanna Martins, aluna do Polo EAD de São Gonçalo apresento trabalho na 4° Jornada de Educação a Distância. 👬👫👭👫👬👫👭👫👬 https://t.co/GukTrFpMdG ","",NA,1,0
"2019-10-25 13:22Z","@Rafael3910 HAHAHAHAHAHAHAHAHA ","@Rafael3910",NA,1,0
"2019-10-25 13:15Z","@Rafael3910 Já, mano? 🤟🏾🐻 ","@Rafael3910",NA,0,0
"2019-10-25 13:12Z","@qdbru 🐻💙 ","@qdbru",NA,0,0
"2019-10-25 13:12Z","@_SabrinaFreitas 🐻🤙🏾 ","@_SabrinaFreitas",NA,1,0
"2019-10-25 13:02Z","🤨 https://t.co/LVA8MQMP8F ","",NA,104,23
"2019-10-24 13:07Z","@naotemminombre Hahahahahahh ","@Ser_Zeitgeist",NA,1,0
"2019-10-24 13:06Z","@itsmarcellayo Eu vi mais de 3. 😉 ","@itsmarcellayo",NA,0,0
"2019-10-24 12:53Z","Encontro dos grupos do Programa Especial de Treinamento (PET) da UNIRIO acontecendo agora na tenda do CCH. Evento faz parte da SIA 2019. 👬👫👭👫👬👭👫👬 https://t.co/nDBoSlMF5s ","",NA,9,0
"2019-10-23 16:03Z","🎵 Amanhã (24) tem Série Villa-Lobos Aplaude à partir das 19h30. Alunos do Instituto Villa-Lobos irão apresentar um repertório de árias de ópera de Mozart, Rossini, Gershwin, Offenbach, Puccini, entre outros. https://t.co/X1VG4RAJHR https://t.co/mMHsOJrlxH ","",NA,1,0
